City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Bethel,US,2021-04-03 18:24:22,41.3712,-73.414,48.2,21,1,9.22
59,Bredasdorp,ZA,2021-04-03 18:28:26,-34.5322,20.0403,62.6,77,5,6.91
60,Kieta,PG,2021-04-03 18:28:26,-6.2167,155.6333,80.44,82,99,4.34
61,Acarau,BR,2021-04-03 18:28:26,-2.8856,-40.12,84.58,73,36,16.24
62,Rawson,AR,2021-04-03 18:24:22,-43.3002,-65.1023,79.84,33,6,15.86
63,Susangerd,IR,2021-04-03 18:28:27,31.5608,48.1831,68.0,34,0,6.91
64,Hami,CN,2021-04-03 18:28:27,42.8,93.45,54.16,12,100,4.76
65,Hermanus,ZA,2021-04-03 18:28:27,-34.4187,19.2345,64.0,78,3,0.81
66,Cape Town,ZA,2021-04-03 18:28:27,-33.9258,18.4232,69.01,77,0,6.91
67,Fortuna,US,2021-04-03 18:28:28,40.5982,-124.1573,51.01,87,90,3.44
68,Gigmoto,PH,2021-04-03 18:28:28,13.7796,124.39,79.75,80,47,8.1
69,Sao Felix Do Xingu,BR,2021-04-03 18:26:50,-6.6447,-51.995,86.04,62,55,4.0
70,Myitkyina,MM,2021-04-03 18:28:28,25.3833,97.4,69.42,32,0,2.68
71,Tasiilaq,GL,2021-04-03 18:28:29,65.6145,-37.6368,26.6,54,20,17.27
72,Grand Gaube,MU,2021-04-03 18:25:22,-20.0064,57.6608,81.0,78,6,4.0
73,Khatanga,RU,2021-04-03 18:24:15,71.9667,102.5,-28.98,93,13,4.23
74,Missoula,US,2021-04-03 18:23:44,47.0166,-113.8009,59.0,38,1,4.38
75,Cherskiy,RU,2021-04-03 18:25:18,68.75,161.3,-23.15,97,52,4.88
76,East London,ZA,2021-04-03 18:28:29,-33.0153,27.9116,64.4,72,0,6.91
77,Uch,FR,2021-04-03 18:28:30,45.3192,-0.9345,57.2,38,0,14.97
78,Punta Arenas,CL,2021-04-03 18:28:30,-53.15,-70.9167,44.6,76,75,29.93
