City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
375,Poros,GR,37.4994,23.4536,60.01,77,23,11.01,few clouds
376,Pangnirtung,CA,66.1451,-65.7125,-2.18,66,100,7.16,overcast clouds
377,Chumphon,TH,10.3333,98.8333,84.2,84,20,3.44,few clouds
378,Vila Do Maio,CV,15.1333,-23.2167,75.2,41,0,17.27,clear sky
379,Sitka,US,57.0531,-135.33,39.2,65,75,8.05,broken clouds
380,Ola,RU,59.5833,151.2833,22.15,60,100,28.32,overcast clouds
381,Gao,ML,16.6362,1.637,73.67,9,0,10.09,clear sky
382,Magadan,RU,59.5667,150.8,21.15,63,100,26.84,overcast clouds
383,Menongue,AO,-14.6585,17.691,59.65,85,27,3.56,scattered clouds
384,Redwater,US,33.3582,-94.2544,60.8,44,90,3.44,overcast clouds
385,Tessalit,ML,20.1986,1.0114,74.95,8,35,10.02,scattered clouds
386,Port Blair,IN,11.6667,92.75,83.48,65,44,6.93,scattered clouds
387,Remuna,IN,21.5261,86.8722,88.0,52,0,4.97,clear sky
388,Leo,BF,11.1,-2.1,78.98,11,26,6.69,scattered clouds
389,Tarpon Springs,US,28.1461,-82.7568,64.0,55,1,6.91,clear sky
390,Mata,PT,40.683,-7.4592,51.01,44,0,7.0,clear sky
391,Nusaybin,TR,37.0778,41.2178,41.0,93,0,3.44,clear sky
392,Baloc,PH,15.6435,120.8852,89.6,48,75,9.22,broken clouds
393,Slave Lake,CA,55.2834,-114.769,44.6,49,90,8.05,overcast clouds
394,Rorvik,NO,64.8621,11.2373,42.39,85,100,39.35,overcast clouds
395,Marawi,PH,7.9986,124.2928,81.57,57,99,6.38,overcast clouds
396,Lenggries,DE,47.6833,11.5667,27.0,94,13,3.06,few clouds
397,Pineville,US,31.3224,-92.4343,60.8,48,90,0.51,overcast clouds
398,Uyemskiy,RU,64.4743,40.8524,26.6,86,40,2.24,scattered clouds
399,Pogranichnyy,RU,44.4064,131.3769,45.27,18,67,7.49,broken clouds
400,Mercedes,AR,-34.6515,-59.4307,64.0,84,98,1.99,overcast clouds
401,Fairbanks,US,64.8378,-147.7164,30.99,100,90,5.75,snow
402,Ostersund,SE,63.1792,14.6357,39.2,70,90,23.02,overcast clouds
403,Bayan,CN,46.0833,127.4,46.35,22,0,9.95,clear sky
404,Anshun,CN,26.25,105.9333,52.7,80,100,7.9,overcast clouds
405,Merauke,ID,-8.4667,140.3333,80.15,83,100,10.29,overcast clouds
406,Riohacha,CO,11.5444,-72.9072,79.0,79,88,12.64,overcast clouds
407,Nouadhibou,MR,20.931,-17.0347,66.2,77,100,19.57,overcast clouds
408,Kamaishi,JP,39.2667,141.8833,55.4,88,75,2.3,light rain
409,Mount Isa,AU,-20.7333,139.5,86.0,28,0,13.8,clear sky
410,Goure,NE,13.9835,10.2704,68.99,13,0,8.21,clear sky
411,Opuwo,NA,-18.0607,13.84,69.26,56,40,6.85,scattered clouds
412,Komsomolskiy,UZ,40.4272,71.7189,50.0,40,100,2.3,overcast clouds
413,Kortkeros,RU,61.8106,51.5806,24.8,100,20,1.5,light snow
414,Wukari,NG,7.85,9.7833,79.83,20,100,5.01,overcast clouds
415,Shimoda,JP,34.6667,138.95,69.01,73,75,11.5,broken clouds
416,Mayumba,GA,-3.432,10.6554,75.31,94,100,5.21,moderate rain
417,Alihe,CN,50.5667,123.7167,44.78,42,36,7.72,scattered clouds
418,Nyurba,RU,63.2842,118.3319,1.9,84,100,4.27,overcast clouds
419,Ust-Tsilma,RU,65.441,52.1498,18.55,99,97,1.07,overcast clouds
420,Lagoa,PT,39.05,-27.9833,59.95,88,93,33.04,overcast clouds
421,Mosquera,CO,4.7059,-74.2302,55.4,94,40,4.61,scattered clouds
422,Foki,RU,56.693,54.3499,32.41,95,100,4.85,snow
423,San Carlos,VE,9.6612,-68.5827,80.22,65,74,3.83,broken clouds
424,Storslett,NO,69.7678,21.0247,30.45,96,100,3.74,light snow
425,Asuncion,PY,-25.3007,-57.6359,77.0,69,99,4.61,overcast clouds
426,Aldan,RU,58.6031,125.3894,19.15,74,100,4.09,overcast clouds
427,Kerema,PG,-7.9631,145.7785,79.16,83,100,8.63,overcast clouds
428,Yulara,AU,-25.2406,130.9889,84.2,23,0,11.5,clear sky
429,Saint-Augustin,CA,51.226,-58.6502,33.8,99,100,8.3,overcast clouds
430,Naze,JP,28.3667,129.4833,75.2,83,75,8.05,broken clouds
431,Emilio Carranza,MX,19.9711,-96.6114,71.26,66,100,3.67,overcast clouds
432,Guangyuan,CN,32.442,105.823,46.0,97,100,2.62,overcast clouds
433,Luba,GQ,3.4568,8.5547,80.96,84,98,6.33,overcast clouds
434,Moissala,TD,8.3404,17.7663,78.87,56,70,3.83,broken clouds
435,Turayf,SA,31.6725,38.6637,44.6,87,0,6.91,clear sky
436,Semey,KZ,50.4111,80.2275,30.2,80,0,6.71,clear sky
437,Pangkalanbuun,ID,-2.6833,111.6167,91.99,50,10,3.74,clear sky
438,Herat,AF,34.5,62.0,57.2,58,20,17.27,few clouds
439,Bathsheba,BB,13.2167,-59.5167,78.8,61,40,20.71,scattered clouds
440,Santa Cruz,BO,-17.8,-63.1667,71.6,100,90,2.3,overcast clouds
441,Kitimat,CA,54.0524,-128.6534,39.0,80,77,3.65,broken clouds
442,Lagunas,PE,-5.2269,-75.6753,73.18,91,99,2.28,overcast clouds
443,Oktyabrskiy,RU,54.4815,53.471,32.92,98,98,4.76,light snow
444,Gat,IL,31.61,34.7642,52.0,82,0,3.49,clear sky
445,Villa Union,MX,23.2,-106.2333,75.0,68,20,8.05,few clouds
446,Sotnikovo,RU,51.8845,107.4791,46.4,31,20,4.47,few clouds
447,Mahuva,IN,21.0914,71.7622,80.38,63,6,7.81,clear sky
448,Moussoro,TD,13.6408,16.4901,76.03,12,100,14.99,overcast clouds
449,Petatlan,MX,17.5167,-101.2667,75.99,68,0,3.0,clear sky
450,Falam,MM,22.9167,93.6833,79.59,14,65,2.44,broken clouds
451,Port-Gentil,GA,-0.7193,8.7815,79.93,81,100,7.0,moderate rain
452,Isla Vista,US,34.4133,-119.861,63.0,77,1,5.75,clear sky
453,Kununurra,AU,-15.7667,128.7333,95.0,34,100,13.8,overcast clouds
454,Kenai,US,60.5544,-151.2583,37.4,74,1,4.61,clear sky
455,Sapernoye,RU,60.7167,29.9505,33.01,87,31,7.29,scattered clouds
456,Krasnoyarskiy,RU,51.965,59.8967,33.49,96,100,5.19,overcast clouds
457,Wanxian,CN,30.8039,108.3897,58.06,81,100,5.32,overcast clouds
458,Hearst,CA,49.6835,-83.6665,42.8,56,100,5.75,overcast clouds
459,Wundanyi,KE,-3.4019,38.364,62.15,91,34,3.6,light rain
460,Valdivia,CL,-39.8142,-73.2459,46.4,100,100,2.3,overcast clouds
461,Muzhi,RU,65.3667,64.6667,20.52,95,100,5.66,overcast clouds
462,Noumea,NC,-22.2763,166.4572,82.4,69,90,14.97,overcast clouds
463,Sosnovka,RU,56.255,51.2842,32.34,89,100,9.1,overcast clouds
464,Maturin,VE,9.75,-63.1767,73.24,89,30,6.69,scattered clouds
465,Arkhipo-Osipovka,RU,44.37,38.52,48.6,90,94,17.43,overcast clouds
466,Tingi,TZ,-11.3,35.0333,61.3,95,99,3.36,overcast clouds
467,Bilma,NE,18.6853,12.9164,69.6,13,5,7.47,clear sky
468,Whitianga,NZ,-36.8333,175.7,70.16,55,0,9.35,clear sky
469,Vestmannaeyjar,IS,63.4427,-20.2734,35.33,65,21,35.34,few clouds
470,Alta Floresta,BR,-9.8756,-56.0861,72.79,94,100,1.59,light rain
471,Portland,US,45.5234,-122.6762,64.4,42,75,11.5,broken clouds
472,Mandurah,AU,-32.55,115.7,73.99,67,100,15.9,light rain
